System,SOURCE_ID,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,e_gmag,e_bpmag,e_rpmag,Radius,Teff
98,310674711305262720,19.903117328938208,32.233362372674556,17.76305389404297,17.688236236572266,17.954483032226562,0.0011329612577625782,0.00969654735831235,0.018151750248453315,0.015,21183.611
99,312884592237425536,13.926155702600731,31.832394777025915,18.88640594482422,18.812009811401367,18.933494567871094,0.0017790904762812042,0.03231669219387381,0.05882521763275244,0.015,16032.454
100,313615522658388864,18.841899758596846,32.22077710507289,19.065462112426758,19.1663761138916,18.901695251464844,0.002301755208214147,0.044653878404810325,0.031138287439076123,0.012,8810.489
101,314956480167069696,17.422956826349182,34.58576085981759,18.011789321899414,18.188444137573242,17.667926788330078,0.0013607382279537594,0.019477957028946464,0.013283602726599003,0.010,6902.398
102,316480540721888128,20.612806006682234,32.28103107396284,18.662120819091797,18.683788299560547,18.734647750854492,0.0018284726995065595,0.026298595616372114,0.03358786859757152,0.022,13121.999
103,316724877116640896,20.825553894426296,33.00396399202337,18.171140670776367,18.099998474121094,18.268157958984375,0.00155351260088486,0.016814711902517997,0.02164967424279068,0.014,16330.519
104,316842627939935744,21.506421064859424,33.42322609165987,17.852109909057617,17.74917984008789,18.077756881713867,0.0011986896721896494,0.014320233102320034,0.027814456448156784,0.025,25644.840
105,320099415741244160,19.394507307421847,34.331807507266696,18.169780731201172,18.164827346801758,18.27357292175293,0.0014609924619568139,0.01657591237376855,0.028914347651881642,0.013,14190.575
106,323571256848983552,21.248890261918696,39.134563083764796,18.68486976623535,18.59933090209961,18.947256088256836,0.0019067289552201962,0.018715752208956053,0.05161927373981303,0.027,28054.336
107,324286523522485760,33.794257909741226,30.443987897799385,18.267641067504883,18.36762809753418,18.1535587310791,0.0019057069020839636,0.021699454145968498,0.04011949744356394,0.014,9289.664
108,325972177927167360,33.49527138549913,33.232122481327615,19.506162643432617,19.73845672607422,19.318899154663086,0.003939450955178443,0.051012828439026665,0.060470024472623986,0.014,7709.035
109,327081379001288448,38.00186241940283,34.51094566175912,19.076812744140625,19.17606544494629,18.99955940246582,0.0034623270251007377,0.02669005783985465,0.03615417554820056,0.017,10185.914
110,357623342415672960,29.622207616372897,49.20193513221151,17.837135314941406,17.977783203125,17.629201889038086,0.0009368538691086753,0.00812941221786341,0.015662819713846213,0.010,8053.784
111,359862974586350848,30.49055842994068,52.65253683345719,18.34246253967285,18.520267486572266,18.10396385192871,0.0012183390128744779,0.02189706601536914,0.017571484624060506,0.013,7585.776
112,362614021399794176,13.8133622382128,33.35158190523761,16.856674194335938,16.75983238220215,16.97235870361328,0.0010973409842812464,0.008511963799520541,0.022358945415534414,0.014,17100.153
113,365324386280312576,8.387852879155592,35.12275430289455,19.73834800720215,20.21480941772461,19.214418411254883,0.0027509974285719876,0.06798847622010756,0.03723922855921549,0.014,5058.247
114,366241829951487616,6.643410904547619,35.56033954540464,17.80487632751465,17.920244216918945,17.641817092895508,0.000800902489916966,0.007627533188465634,0.010870789472227298,0.012,8629.785
