log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-2.7847,7.7954,0.5428,0.0148,11.7017,9549.92586021436,2760969.3694855566,4362225.117142243,1559370.4232468756,2773780.1712431572,5875490.405371109,2605769.744759854,1325369.6713103245,681613.4243249673
-2.7015,7.7923,0.4812,0.0149,11.4938,10000.0,3140309.7133288737,5035689.781598693,1722424.4694342185,3228664.608801262,6840927.93419182,2942028.877322482,1470306.6526992994,742966.1529437781
-2.6183,7.7891,0.426,0.0149,11.2858,10471.285480508985,3582056.918973807,5826650.492202977,1909590.2413632972,3779400.6478896537,7975446.6703496715,3330940.930818365,1635640.7513328556,813596.4205169422
-2.5347,7.7854,0.3761,0.015,11.0767,10964.78196143185,3990639.539278089,6580955.993651912,2071334.3403017218,4340032.20210751,9067864.754523356,3683977.337578026,1778107.2019405009,872406.8118071589
-2.4509,7.7816,0.3314,0.0151,10.8672,11481.536214968817,4400186.910300574,7351189.365305586,2226992.8816245357,4943124.801227145,10189987.648947772,4031861.206306301,1914373.0180593473,928341.2993369997
-2.367,7.7778,0.2912,0.0151,10.6576,12022.644346174131,4843408.780450289,8187618.719064039,2395735.282429362,5603786.432665765,11411261.496070487,4405808.0635735495,2060566.1659547824,989891.6740819393
-2.2831,7.7739,0.2549,0.0152,10.4478,12589.254117941662,5145384.613100399,8777772.66599789,2501183.456923446,6100821.158387559,12289108.434815545,4652563.316566922,2149875.3649458895,1026914.7459500694
-2.199,7.7698,0.222,0.0153,10.2376,13182.567385564074,5492905.88232317,9460817.025248215,2623311.4921668125,6712628.436260177,13300399.641701428,4933062.3699953435,2252358.918369955,1070233.9027658333
-2.1147,7.7654,0.1921,0.0154,10.0267,13803.842646028837,5930121.310474384,10320721.599457512,2783500.359717784,7548732.370143433,14552114.74479117,5287106.107043275,2386816.4230174655,1127353.5178259339
-2.03,7.7608,0.1646,0.0155,9.8151,14454.39770745928,6418028.229608446,11282571.865559712,2967080.4846930727,8558784.148628058,15930307.384819148,5682194.189451172,2540253.5254991828,1193323.435327734
-1.9451,7.7559,0.1399,0.0155,9.6029,15135.612484362071,7029454.480766437,12476366.056995207,3206042.883440189,9833136.630102567,17622363.523391366,6184093.848051645,2740798.2149701174,1281144.6569517588
-1.86,7.7507,0.1179,0.0156,9.3899,15848.93192461114,7593741.735689614,13601359.137844048,3420294.6945674084,11131309.885956114,19204294.419659473,6640033.513225145,2919384.261559318,1358352.1338256497
-1.7745,7.7453,0.0989,0.0157,9.1763,16595.869074375598,8199468.7407177845,14815359.696281454,3649500.425506542,12578711.75331737,20901056.89126844,7127548.20503764,3110721.6678035706,1441127.0209180745
