teff,logg,Gaia_G_mag,Gaia_BP_mag,Gaia_RP_mag,SDSS_u_mag,SDSS_g_mag,SDSS_r_mag,SDSS_i_mag,SDSS_z_mag,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
7735.297119765316,9.1257766,14.983814040283304,15.141505071933642,14.69074055105475,15.71864281091676,15.193128623011388,15.006431582705089,15.010799362910964,15.12208192949286,1572314.8361612344,2226330.2394364974,1026825.421630592,1176571.853553165,2822514.6979728774,1545421.4794501353,859687.9177537862,468412.9608757869
7674.2510094281015,9.1257868,15.009867974206044,15.172439815096224,14.710325705972098,15.764591328338378,15.226626613511348,15.03089754686228,15.030628702269661,15.138983975942503,1535094.9144837977,2163879.0492524677,1008509.1534997113,1127862.9799391164,2736870.888285792,1511046.5811454516,844163.1332617985,461195.83750394895
7610.847149728739,9.1257968,15.036883427538724,15.204524495432997,14.730622611505543,15.812269535946369,15.26137351551253,15.056263679399818,15.051179223241904,15.156494233421038,1497369.7375572824,2100869.663642447,989831.0706461181,1079406.5743976568,2650669.3070418932,1476153.0886258406,828335.3069340048,453817.5385792038
7549.809613611751,9.1258061,15.062933999092706,15.235455024101658,14.750205442062136,15.858211519181456,15.294866887154438,15.080726467071084,15.07100620394296,15.173394495363159,1461928.4488337545,2041945.7184558876,972176.7809862423,1034726.4721488637,2570250.753,1443323.154896664,813378.4752141596,446826.0305
7489.571997191592,9.1258153,15.088933775162502,15.266208572539114,14.76990544451849,15.903779702579858,15.328170665862686,15.105201233931933,15.090926436890594,15.190488324406154,1427335.9586365013,1984918.9299595135,954696.3087234844,992197.8616770325,2492607.994599403,1411151.5990480124,798591.3138256831,439846.29088920855
7430.396685578302,9.1258242,15.116081602389592,15.29773462658397,14.791254801849092,15.949859045273495,15.362300469218525,15.131047950545142,15.11239492668604,15.209470669272225,1392144.6763632605,1928189.2034243112,936144.2956225288,951007.2865350246,2415568.4971625037,1378009.718244257,782986.8729480358,432240.3348
7372.333957686132,9.125833,15.142676635224756,15.328625552822974,14.81216040061101,15.995029554673053,15.395746190684783,15.156366351826865,15.133417434563928,15.228053758918456,1358458.4445751647,1874102.2250030676,918291.4818322631,912253.7151790534,2342292.1801688136,1346247.531191307,767972.1622917053,424905.20881770906
7315.415531,9.1258417,15.168790818500751,15.358950950174124,14.83269729,16.039353033085327,15.428576033612101,15.181229079217724,15.154068947879628,15.246313914008502,1326227.349,1822554.0323707396,901120.9654181502,875797.1841347043,2272617.918,1315821.9416385011,753532.8113491737,417835.45436960424
7256.513374,9.1258502,15.195770439707262,15.390288538656156,14.853905260927183,16.08517649,15.462505351013332,15.206913645325946,15.175395546712329,15.2651658,1293677.8168135583,1770701.589357797,883689.9315,839603.3492843045,2202696.6917687706,1285059.680742479,738875.9456,410643.10530194663
7193.0486889170625,9.1258587,15.226589365343953,15.425917664986256,14.878505484523279,16.13721470057375,15.50126788287495,15.236337218965582,15.200122039815268,15.287455237324293,1257522.7667270193,1713606.189216396,863927.1309163556,800343.0408733687,2125528.743445448,1250751.8781232291,722267.7547194774,402314.8417243805
