log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-2.3656,8.8401,0.5089,0.0066,10.6541,18197.008586099826,9559983.622174498,17536528.837914523,4209832.847049204,16731990.099192856,24208042.94466007,8293380.608698273,3612539.363622659,1654450.18397245
-2.2844,8.8388,0.4313,0.0066,10.451,19054.607179632483,10348970.4827988,19143600.991846576,4503859.690003534,18816879.28991766,26414334.97738558,8923425.393031128,3859158.25232688,1760247.3328664084
-2.2041,8.8385,0.3746,0.0066,10.2502,19952.62314968879,11175247.447474008,20840284.035883684,4807782.943163743,21079854.0153275,28731591.368842978,9578369.728372628,4114647.051879348,1869191.0588817361
-2.1232,8.8377,0.3288,0.0066,10.0481,20892.96130854041,12080840.437799167,22710339.873735063,5139310.4438488865,23612805.994840316,31278050.83195437,10293702.131858842,4393115.16132848,1987804.6168153507
-2.0424,8.8368,0.2877,0.0066,9.846,21877.616239495517,13062224.637322292,24748200.950260747,5495723.220507572,26420899.489674367,34043929.39235978,11065514.126542905,4693021.977554827,2115308.4045781223
-1.9615,8.8359,0.2509,0.0066,9.6437,22908.676527677748,14131138.34715956,26978862.439267326,5881185.155273901,29543884.644576855,37068044.96031934,11901771.195278283,5017098.043404175,2252649.872540404
-1.8805,8.835,0.2181,0.0066,9.4414,23988.329190194898,15305839.26519777,29440395.07701315,6300642.703371859,33042096.7809569,40394262.288088426,12816563.59914426,5369979.008565006,2401561.4019488445
-1.7995,8.834,0.1888,0.0066,9.2389,25118.864315095823,16598053.047380717,32162043.407320578,6758726.185740275,36964735.156118006,44071687.62129871,13818203.904671326,5754566.167121672,2563856.3880841965
-1.7185,8.8329,0.1624,0.0067,9.0362,26302.679918953814,17514406.044683997,34188645.84226852,7053474.7831758065,40216647.505485706,46779755.414482884,14495388.599565322,6001099.861428654,2662636.9874955164
-1.6374,8.8318,0.1388,0.0067,8.8334,27542.28703338169,19112408.266118474,37583904.80503314,7613828.9882330615,45232007.65095908,51344975.00691089,15724971.341694865,6470693.869631661,2859907.328547694
-1.5561,8.8306,0.1177,0.0067,8.6304,28840.31503126606,20929334.25185113,41453566.30544742,8252074.079987694,51022985.23958591,56537675.23086472,17121817.460486736,7004721.190601077,3084835.148795921
-1.4749,8.8293,0.0987,0.0067,8.4272,30199.51720402019,22990870.432833366,45848158.77338048,8978486.170358455,57656179.96079536,62416289.423913136,18706384.751144126,7609407.703136282,3341272.994938394
-1.3935,8.8279,0.0817,0.0067,8.2237,31622.776601683792,25208988.139954872,50587346.479942314,9764345.050724074,64846399.06287665,68741332.56840083,20413142.28040719,8262488.227632232,3618694.835710202
-1.312,8.8265,0.0666,0.0067,8.0201,33113.112148259075,27481182.354542065,55442384.3745412,10570197.89023667,72251333.09870495,75220799.79311423,22161025.96735562,8930398.806925401,3903659.7847993867
-1.2305,8.8249,0.053,0.0067,7.8163,34673.685045253165,29740989.519506637,60272873.85267928,11370069.465991218,79639012.19546819,81661611.65204096,23895155.58529288,9592920.685172016,4186315.547825442
-1.1488,8.8233,0.041,0.0067,7.6121,36307.8054770101,31959164.26425978,65019241.59261546,12155228.239718419,86913224.89257218,88003095.11693238,25599404.49237541,10242143.438330203,4464285.49803138
-1.067,8.8215,0.0303,0.0067,7.4076,38018.93963205613,34144079.89292019,69695044.45243675,12925373.989161804,94077520.92362028,94236239.39989462,27269040.857137963,10880049.060954634,4736657.258884084
-0.9851,8.8195,0.0211,0.0068,7.2027,39810.71705534969,35244162.41533067,72152881.44006144,13287855.540824205,98233053.64111434,97478699.57112227,28080293.48815877,11174873.9657433,4859635.999763715
-0.9029,8.8173,0.0134,0.0068,6.9972,41686.93834703355,37346266.66813095,76660858.6670919,14029910.417771375,105142341.53616446,103492702.25617014,29689415.155373797,11788068.034458948,5122049.139096229
-0.8205,8.8149,0.0075,0.0068,6.7911,43651.58322401656,39468188.51864332,81210779.56317659,14776612.957289726,112123757.79766123,109564466.09899391,31312781.147303436,12408595.677186871,5386711.801053627
-0.7379,8.8124,0.0041,0.0068,6.5849,45708.818961487515,41610908.11558938,85793360.514155,15531553.537256664,119183914.28554538,115693704.34636852,32951989.655971415,13031746.813001245,5653061.895907578
-0.6556,8.81,0.0025,0.0068,6.379,47863.0092322638,43765026.31442018,90417746.62320744,16287517.600618608,126292524.50395842,121851176.50900556,34597255.00460554,13659746.31114704,5921118.334550913
-0.5734,8.8078,0.0018,0.0069,6.1736,50118.72336272725,44426984.658037074,91946102.22083853,16494324.788315447,129008191.91880614,123865217.82405952,35068830.78993622,13826818.996535353,5989676.742756071
-0.4913,8.8057,0.0013,0.0069,5.9682,52480.74602497723,46537905.97954644,96483560.86420868,17235129.144468937,135999492.74642682,129906047.95457669,36681010.10408452,14439836.560731411,6251199.865771264
-0.4091,8.8035,0.0011,0.0069,5.7628,54954.08738576248,48699761.897212334,101123786.56924433,17990968.450494535,143171735.2061186,136103524.1862667,38328452.62882857,15067537.383044077,6518135.502282806
-0.3269,8.8013,0.0009,0.0069,5.5572,57543.993733715666,50919817.43244507,105899357.04573761,18769579.450445008,150541863.79006037,142465389.8070213,40020387.2374622,15712390.98998166,6792714.861605368
-0.2446,8.799,0.0007,0.0069,5.3516,60255.95860743581,53206762.97599498,110818769.44488943,19567463.931679163,158131098.73492843,149028513.89812988,41763923.016559206,16374282.454180725,7074950.156208069
-0.1623,8.7967,0.0006,0.0069,5.1458,63095.7344480193,55570824.17261162,115902638.67372249,20395508.705014057,165995872.16525114,155822213.99640474,43567364.23883816,17060913.36506656,7366197.936301171
-0.0798,8.7943,0.0006,0.007,4.9396,66069.34480075965,56393485.701361254,117770203.31247613,20649837.73796866,169246380.63114408,158274690.2149098,44151289.06560262,17268888.248743445,7451187.396679728
0.0027,8.7917,0.0005,0.007,4.7332,69183.09709189362,58872020.25180034,123116263.02813812,21517739.395825442,177516771.17430636,165398464.02966228,46045096.5544176,17988062.136325207,7757208.881081723
0.0853,8.7891,0.0004,0.007,4.5266,72443.59600749906,61470810.49018458,128705001.7379731,22422118.497101914,186174154.4076298,172874713.01881415,48020136.253675245,18738912.3182033,8075798.717872402
0.1681,8.7863,0.0004,0.007,4.3198,75857.75750291836,64172497.14332445,134522653.33943987,23364508.16927453,195181831.97961012,180638979.94799793,50075280.18871914,19519306.29764306,8407473.091338806
0.251,8.7834,0.0003,0.007,4.1125,79432.82347242821,67023783.36900566,140655080.88170853,24353234.094037123,204681876.54654893,188838904.43327692,52242432.22880128,20341565.76367442,8755994.619024228
-6.0269,9.0987,6.9379,0.0051,19.8073,2511.88643150958,27443.826632410117,32267.93345420914,21799.793073547473,589.2439305508545,26721.891728890125,40212.31869692019,15531.024575893927,9377.373490686476
-5.9468,9.0987,6.8829,0.0051,19.6071,2630.2679918953813,32527.049241457644,36637.948903015786,26975.678143043202,691.2817917894205,30368.76983061639,45784.56748083186,19877.424241727214,12013.822575336668
-5.8667,9.0986,6.8278,0.0051,19.4069,2754.2287033381663,38385.275956128295,41169.07911336708,33334.37918116408,796.9941209308867,34149.72415408638,51551.23996249082,25276.68445610708,15538.218127407104
-5.7867,9.0986,6.7727,0.0051,19.2067,2884.031503126606,45432.294111902214,46551.22914412509,41040.47430199685,949.0631647970157,38742.46059586509,58312.158250782646,31886.00478384325,19831.757981067345
-5.7066,9.0985,6.7176,0.0051,19.0065,3019.9517204020162,53235.90815756432,52308.36585672594,49724.72285718588,1137.0383631011543,43758.98098171028,65427.31766755472,39336.897751626544,24842.83837151132
-5.6265,9.0984,6.6626,0.0051,18.8063,3162.2776601683795,62328.21180139682,58940.13858046154,59958.72252611953,1384.124378166776,49721.84094867303,73444.47248126613,48048.530171002356,30945.76433180313
-5.5464,9.0984,6.6075,0.0051,18.6061,3311.311214825911,72384.34804801928,66259.95744620502,71320.17025427762,1709.4449430262962,56533.67266853723,82042.54347010983,57575.816682639575,37991.04274321369
-5.4663,9.0983,6.5524,0.0051,18.4059,3467.368504525317,83970.09937339656,75171.14278465169,84095.42529099861,2180.595531610697,65208.94891611541,92095.64966120574,68108.31044427177,46025.78599800298
-5.3863,9.0983,6.497,0.0051,18.2057,3630.780547701014,96623.92321655429,85508.8671179403,97627.54563448002,2842.988597250872,75785.68842011628,103247.39806792655,79016.92174753964,54711.826540874434
-5.3062,9.0982,6.437,0.0051,18.0055,3801.8939632056126,111051.56088347257,98349.27270073282,112277.40622880546,3815.0050555874277,89492.61531356775,116508.90372312366,90773.71441425906,63926.5421770247
