log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
-3.4188,6.9102,2.8162,0.0259,13.2871,5011.872336272725,58251282453.450066,95374434662.46959,29042446317.821274,85766155251.92383,126802560725.38776,58460151953.25504,32651334111.385017,19710699541.949818
-3.3118,6.8832,2.5081,0.0268,13.0196,5248.074602497728,54404576162.00551,89076248212.20096,27124587066.242046,80102465199.01846,118428973268.2632,54599652667.30203,30495156821.199295,18409075461.87257
-3.2114,6.8628,2.2441,0.0274,12.7686,5495.408738576249,52047981755.28643,85217811971.7769,25949655568.30104,76632738297.91548,113299091267.77847,52234608305.934006,29174225365.3074,17611665991.442482
-3.1148,6.8462,2.0046,0.028,12.527,5754.399373371566,49841253549.23321,81604750658.07553,24849443130.685825,73383666587.42732,108495441020.6599,50019967515.00384,27937297749.053802,16864967295.58081
-3.0198,6.8312,1.7786,0.0285,12.2896,6025.595860743575,48107778125.69879,78766542955.9018,23985181181.234463,70831387632.5553,104721976928.52863,48280276431.84121,26965640425.063942,16278404875.020449
-2.9255,6.8168,1.5639,0.0289,12.0536,6309.57344480193,46785290864.092674,76601243418.93802,23325826336.439564,68884226247.94127,101843160115.65639,46953047175.87555,26224352480.52368,15830910022.312181
-2.8312,6.8026,1.3656,0.0294,11.8181,6606.934480075957,45207486212.45643,74017914429.09346,22539177442.79894,66561148832.13364,98408563284.04527,45369585047.622536,25339952606.851524,15297022490.322733
-2.7371,6.7885,1.1873,0.0299,11.5827,6918.309709189362,43708171924.92124,71563097186.75543,21791661630.695057,64353636541.58569,95144825852.28058,43864894723.50758,24499548590.349304,14789694029.9721
-2.6427,6.7741,1.0279,0.0304,11.3468,7244.359600749898,42282226868.28995,69228406894.83556,21080725647.569347,62254149286.425545,92040800034.83961,42433836707.672935,23700269904.841354,14307191784.68594
-2.5487,6.7601,0.9121,0.0309,11.1118,7585.775750291836,40924940860.06519,67006131603.07416,20404021129.29032,60255752039.19422,89086232611.93053,41071683928.491554,22939476372.53295,13847921952.781557
-2.454,6.7454,0.7837,0.0314,10.875,7943.282347242814,39631975721.73196,64889168440.84063,19759385182.41885,58352057491.726875,86271680149.49629,39774082652.1999,22214736333.378822,13410416608.924658
-2.3588,6.7302,0.6719,0.032,10.637,8317.63771102671,38159709748.631676,62478637222.58909,19025354896.931335,56184369730.99905,83066822031.44273,38296537628.67482,21389493589.11932,12912240585.679058
-2.2633,6.7146,0.5766,0.0326,10.3982,8709.635899560806,36767984100.45433,60199974138.96951,18331479745.62243,54135265351.10754,80037285709.0946,36899821720.57946,20609395757.516457,12441317286.81486
-2.1672,6.6986,0.4905,0.0332,10.158,9120.108393559096,35451029524.05905,58043733230.45003,17674883341.611347,52196250004.12164,77170512556.42816,35578144988.17229,19871209024.584652,11995694549.04137
-2.0708,6.6822,0.418,0.0338,9.9171,9549.92586021436,34203584243.022697,56001299425.73023,17052942311.594215,50359576524.40658,74455048632.92374,34326226788.070293,19171984030.021873,11573591925.821365
-1.9765,6.6679,0.3554,0.0344,9.6813,10000.0,33020841318.448177,54064802355.94513,16463260051.427874,48618167425.41832,71880430097.51671,33139242945.31082,18509026361.595947,11173382875.655216
-1.8826,6.654,0.2997,0.0349,9.4464,10471.285480508985,32081463027.8888,52526764571.66299,15994912533.113594,47235075742.024315,69835572581.66794,32196496360.262245,17982480796.757156,10855522006.991205
-1.7902,6.6416,0.2493,0.0354,9.2155,10964.78196143185,31181607123.27144,51053436525.20925,15546269761.608803,45910174761.8365,67876748188.73677,31293413875.13407,17478088540.376476,10551034472.641447
-1.6991,6.6305,0.2008,0.0359,8.9877,11481.536214968817,30319087206.491917,49641238441.609886,15116241660.491222,44640245346.12785,65999197523.44984,30427801252.13416,16994624060.379877,10259180453.081028
-1.61,6.6214,0.1506,0.0363,8.765,12022.644346174131,29654579440.23165,48553244326.00326,14784936832.227375,43661858710.73093,64552683681.44054,29760910784.602615,16622150456.676598,10034328529.271193
-1.5235,6.6149,0.0999,0.0365,8.5488,12589.254117941662,29330488108.53731,48022611759.0026,14623354035.997513,43184683508.75813,63847195166.22057,29435657370.435738,16440488973.734795,9924664559.756319
-1.4366,6.608,0.0602,0.0368,8.3314,13182.567385564074,28854222872.31129,47242825877.19402,14385901623.388536,42483455373.15619,62810451441.54462,28957684407.315556,16173530124.097786,9763508949.47377
-1.3441,6.5955,0.0359,0.0373,8.1002,13803.842646028837,28085836010.17677,45984751213.57246,14002805608.074297,41352122565.77926,61137811498.82294,28186542368.42284,15742829629.522373,9503507075.97651
-1.2486,6.58,0.019,0.038,7.8615,14454.39770745928,27060625195.705566,44306180412.694756,13491664414.444384,39842655543.31235,58906112022.29735,27157655492.910675,15168172739.098465,9156602742.199001
-1.1518,6.5632,0.0097,0.0388,7.6196,15135.612484362071,25956227270.83035,42497957086.25467,12941042761.22442,38216597542.6075,56502036454.58961,26049297568.659676,14549129447.376307,8782903576.187267
-1.0526,6.5439,0.0063,0.0397,7.3714,15848.93192461114,24792710303.725574,40592938547.88193,12360946021.13946,36503495742.338974,53969269369.26024,24881608621.184715,13896948419.987555,8389200083.583652
-0.9513,6.5227,0.0047,0.0407,7.1184,16595.869074375598,23589362315.85995,38622704945.95877,11760990657.630106,34731748821.027016,51349797318.54547,23673945832.3099,13222441086.428646,7982018822.773068
-0.8486,6.5,0.0038,0.0418,6.8615,17378.00828749376,22364153054.302124,36616678027.02046,11150135879.706102,32927814498.60525,48682737208.51021,22444343382.57081,12535679949.668154,7567440282.8090925
-0.7442,6.4756,0.0033,0.043,6.6006,18197.008586099826,21133338443.806843,34601473507.80489,10536486432.913843,31115627152.26774,46003475262.410706,21209115484.99893,11845776871.421412,7150965040.419341
-0.6381,6.4495,0.0028,0.0443,6.3353,19054.607179632483,19911206060.972973,32600484341.796005,9927165699.931053,29316223065.87195,43343112963.73351,19982600946.635662,11160740403.90432,6737427635.165203
